2026-01-01 10:44:03 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=DCBO
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=DCBO accepted=1
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=MBAV
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=MBAV accepted=2
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=JBLU
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=JBLU
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NVMI
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=NVMI accepted=3
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ELTX
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ELTX accepted=4
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=SNES
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=SNES accepted=5
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ELVA
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ELVA accepted=6
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=FLX
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=FLX accepted=7
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ONFOW
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=ONFOW
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=MDAI
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=MDAI accepted=8
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NTCT
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=NTCT accepted=9
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NKSH
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=NKSH accepted=10
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=TBLD
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=TBLD accepted=11
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=DBX
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=DBX accepted=12
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=GTX
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=GTX accepted=13
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=WETH
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=WETH accepted=14
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NRXPW
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=NRXPW
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ORGNW
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=ORGNW
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=RGTI
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=RGTI accepted=15
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=KGEI
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=KGEI accepted=16
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=IRD
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=IRD accepted=17
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=MARA
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=MARA accepted=18
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=EQ
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=EQ accepted=19
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=GFAIW
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=GFAIW
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=CVV
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=CVV accepted=20
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=FIGR
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=FIGR
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=IBKR
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=IBKR
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=SORA
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=SORA accepted=21
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=PELIU
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=PELIU
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ALLT
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ALLT accepted=22
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ADACU
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=ADACU
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=WTGUU
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=WTGUU
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=IVA
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=IVA accepted=23
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ADPT
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ADPT accepted=24
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=XPEL
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=XPEL accepted=25
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=KTOS
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=KTOS accepted=26
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=HBT
